database,batch_time,batch_cpu,batch_memory,batch_time_per_record,number of records inserted
MongoDB,0.03614234924316406,26.5,10962.80859375,3.6142349243164066e-05,1000
MongoDB,0.036594390869140625,20.0,10963.28125,3.6594390869140625e-05,1000
MongoDB,0.03005671501159668,17.9,10963.76171875,3.0056715011596678e-05,1000
MongoDB,0.040461063385009766,22.9,10963.94140625,4.046106338500976e-05,1000
MongoDB,0.020743846893310547,21.1,10964.1796875,2.0743846893310547e-05,1000
MongoDB,0.02209329605102539,22.7,10964.109375,2.209329605102539e-05,1000
MongoDB,0.03797268867492676,23.5,10964.5703125,3.797268867492676e-05,1000
MongoDB,0.04232382774353027,16.7,10964.53125,4.2323827743530275e-05,1000
MongoDB,0.03325915336608887,16.1,10965.0,3.3259153366088866e-05,1000
MongoDB,0.023400068283081055,19.0,10965.4921875,2.3400068283081056e-05,1000
MongoDB,0.0394282341003418,20.0,10965.4921875,3.9428234100341796e-05,1000
MongoDB,0.023898839950561523,9.5,10966.2265625,2.3898839950561524e-05,1000
MongoDB,0.01790595054626465,23.5,10966.19921875,1.7905950546264647e-05,1000
MongoDB,0.020876646041870117,11.8,10965.9453125,2.0876646041870118e-05,1000
MongoDB,0.023612499237060547,18.2,10965.9453125,2.3612499237060546e-05,1000
MongoDB,0.02796339988708496,16.0,10966.12890625,2.7963399887084962e-05,1000
MongoDB,0.02332162857055664,10.5,10967.1015625,2.332162857055664e-05,1000
MongoDB,0.019165515899658203,17.6,10967.59375,1.9165515899658202e-05,1000
MongoDB,0.02870655059814453,19.2,10968.55859375,2.870655059814453e-05,1000
MongoDB,0.038796424865722656,22.2,10968.71875,3.8796424865722654e-05,1000
MongoDB,0.023732662200927734,14.3,10968.7109375,2.3732662200927735e-05,1000
MongoDB,0.019798755645751953,16.7,10969.19140625,1.9798755645751954e-05,1000
MongoDB,0.020028352737426758,12.5,10969.91015625,2.0028352737426757e-05,1000
MongoDB,0.016850709915161133,12.5,10970.5625,1.6850709915161134e-05,1000
MongoDB,0.024612903594970703,18.2,10971.04296875,2.4612903594970702e-05,1000
MongoDB,0.01743483543395996,13.3,10971.04296875,1.743483543395996e-05,1000
MongoDB,0.02012348175048828,15.8,10971.46484375,2.012348175048828e-05,1000
MongoDB,0.019330739974975586,11.8,10971.46484375,1.9330739974975584e-05,1000
MongoDB,0.017382144927978516,23.5,10971.46484375,1.7382144927978517e-05,1000
MongoDB,0.016654014587402344,7.1,10971.2109375,1.6654014587402345e-05,1000
MongoDB,0.022384166717529297,10.0,10971.703125,2.2384166717529296e-05,1000
MongoDB,0.018811941146850586,6.7,10972.12890625,1.8811941146850587e-05,1000
MongoDB,0.018520832061767578,18.7,10972.12890625,1.852083206176758e-05,1000
MongoDB,0.018435239791870117,16.7,10973.60546875,1.8435239791870116e-05,1000
MongoDB,0.02816605567932129,16.7,10973.60546875,2.816605567932129e-05,1000
MongoDB,0.040771484375,26.3,10974.296875,4.0771484375e-05,1000
MongoDB,0.026241540908813477,20.0,10974.52734375,2.6241540908813476e-05,1000
MongoDB,0.020267248153686523,16.7,10974.52734375,2.0267248153686525e-05,1000
MongoDB,0.027802705764770508,16.0,10975.74609375,2.7802705764770508e-05,1000
MongoDB,0.035733699798583984,20.6,10976.69140625,3.573369979858398e-05,1000
MongoDB,0.02311873435974121,22.7,10976.8984375,2.311873435974121e-05,1000
MongoDB,0.024949073791503906,14.3,10976.8984375,2.4949073791503908e-05,1000
MongoDB,0.022813796997070312,15.0,10977.390625,2.2813796997070313e-05,1000
MongoDB,0.023975610733032227,15.0,10977.96875,2.3975610733032228e-05,1000
MongoDB,0.018500089645385742,17.6,10978.4609375,1.8500089645385742e-05,1000
